Rank,playerId,abbrevName,playerFullName,player,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,fWAR,xWOBADf,wOBA,xWOBA,xAVG,xOBP,OBP,AVG,AB,RPW,RLR,rPOS,BSR,wRAA
1405,1318507776,J. Newman jr.,John Newman jr.,Newman jr.,C,UC Santa Barbara,UCSB,730364160,UC Santa Barbara,BBC,R,R,1.958,.041,.369,.328,.215,.383,.420,.261,88,3.19,2.12,1.54,.408,2.190
1406,1253355776,S. Slaughter,Sam Slaughter,Slaughter,DH,Belmont University,BEL,730190336,Belmont,BBC,S,R,1.958,.134,.397,.264,.146,.327,.420,.265,147,3.23,3.56,-4.73,-.918,8.406
1407,1258113536,N. Wang,Nick Wang,Wang,3B,Boston College,BC,227,Boston College,BBC,R,R,1.955,.054,.353,.299,.202,.324,.352,.236,208,3.36,4.92,2.20,-1.839,1.279
1408,1267874560,A. Frechette,Anthony Frechette,Frechette,C,George Washington University,GW,730249216,George Washington,BBC,S,L,1.948,.073,.328,.256,.235,.293,.341,.289,159,3.25,3.47,6.39,-.489,-3.042
1409,1303532033,J. Ragsdale,Josiah Ragsdale,Ragsdale,RF,Iona College,IONA,730242048,Iona,BBC,L,L,1.945,.194,.392,.198,.096,.260,.417,.290,107,3.29,2.55,-3.48,2.029,5.303
1410,1242874368,R. Mccoy,Ryan Mccoy,Mccoy,1B,University of Louisville,LOU,5467,Louisville,BBC,L,R,1.944,.049,.391,.341,.214,.372,.399,.247,182,3.39,4.53,-7.65,.831,8.876
1411,1230378496,M. Woods,Matt Woods,Woods,RF,University of Maryland-College Park,MD,730172928,Maryland,BBC,S,R,1.944,.124,.395,.272,.165,.307,.389,.266,177,3.43,4.44,-6.39,-.901,9.511
1412,1276603904,Z. Weston,Zach Weston,Weston,DH,Queens University of Charlotte,QUC,754315264,Queens University of Charlotte,BBC,L,R,1.944,.009,.369,.360,.207,.359,.405,.265,98,3.31,2.47,1.48,.034,2.461
1413,1238233856,C. Mariani,Chris Mariani,Mariani,DH,Iona College,IONA,730242048,Iona,BBC,R,R,1.941,-.063,.355,.417,.408,.470,.357,.279,86,3.33,1.92,4.10,-.199,.656
1414,1092688384,C. Kelly,Cody Kelly,Kelly,1B,Missouri State University,MOSU,5382,Missouri State,BBC,L,R,1.935,.046,.377,.331,.192,.301,.331,.229,140,3.30,3.27,-1.77,.466,4.425
1415,1097651712,M. Abshire,Matt Abshire,Abshire,1B,University of Louisiana at Monroe,ULM,730362880,UL Monroe,BBC,R,R,1.935,.080,.343,.263,.211,.320,.374,.274,84,3.16,1.85,4.82,-.175,-.385
1416,1082696704,B. Higgins,Ben Higgins,Higgins,RF,Fort Wayne,PFW,730231552,Fort Wayne,BBC,R,R,1.933,.313,.413,.100,.052,.129,.367,.316,133,3.35,2.89,-4.43,-.646,8.659
1417,1111964416,M. Boissoneault,Matt Boissoneault,Boissoneault,1B,Seattle University,SEA,4504,Seattle,BBC,R,R,1.929,.117,.396,.279,.212,.263,.359,.317,180,3.37,3.91,-6.36,.279,8.667
1418,1276295424,P. Matulia,Philip Matulia,Matulia,C,Louisiana Tech University,LT,3374,Louisiana Tech,BBC,L,R,1.922,.145,.382,.237,.146,.276,.349,.233,219,3.38,5.19,-7.84,1.039,8.106
1419,1299347968,K. Byrne,Kurtis Byrne,Byrne,C,Texas Christian University,TCU,5045,TCU,BBC,R,R,1.918,.030,.357,.327,.251,.312,.343,.285,193,3.33,4.22,1.01,-.781,1.941
1420,1262678016,T. Conley,Trevor Conley,Conley,C,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,L,R,1.917,.065,.328,.264,.226,.303,.363,.294,109,3.25,2.42,5.58,.321,-2.092
1421,1110995968,M. Vallee,Mathieu Vallee,Vallee,CF,Southern Illinois University,SIU,730349824,Southern Illinois,BBC,S,L,1.916,.062,.346,.284,.233,.343,.392,.291,141,3.33,3.34,1.10,2.163,-.226
1422,1331048448,G. Johnson,Gunnar Johnson,Johnson,C,Wofford College,WOF,730176512,Wofford,BBC,R,R,1.915,.088,.379,.292,.173,.331,.388,.245,106,3.31,2.66,-0.12,-.147,3.945
1423,1337462272,J. Erbe,Jordan Erbe,Erbe,SS,Rider University,RID,730174976,Rider,BBC,R,R,1.913,.024,.330,.306,.236,.330,.351,.260,150,3.32,3.41,6.02,-.477,-2.596
1424,1174904320,J. Quandt,Jared Quandt,Quandt,RF,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,S,R,1.913,.102,.403,.301,.180,.340,.432,.297,118,3.31,2.87,-4.10,.142,7.413
1425,1175605248,J. Wright,Jake Wright,Wright,C,Little Rock,UALR,730217472,Little Rock,BBC,R,R,1.909,.048,.309,.261,.136,.280,.333,.200,130,3.23,2.99,7.16,1.357,-5.344
1426,1272927744,K. Walker,Kyle Walker,Walker,2B,Grambling State University,GRAM,5378,Grambling State,BBC,R,R,1.906,.023,.382,.359,.301,.437,.442,.306,62,3.37,1.56,1.14,1.296,2.424
1427,1211980288,M. Puls,Max Puls,Puls,DH,Texas A&M-Corpus Christi,AMCC,4764,Texas A&M-Corpus Christi,BBC,L,L,1.904,.263,.396,.133,.079,.156,.370,.314,175,3.36,3.79,-6.24,.467,8.385
1428,1228795392,D. Beazley,Drew Beazley,Beazley,3B,South Dakota State University,SDST,730323200,South Dakota State,BBC,R,R,1.903,.090,.395,.305,.204,.322,.384,.277,155,3.36,3.64,-5.69,.611,7.826
1429,1162066432,W. Ehrhardt,Wilson Ehrhardt,Ehrhardt,DH,University of the Incarnate Word,IW,730225152,Incarnate Word,BBC,L,L,1.896,.058,.391,.332,.204,.372,.426,.273,150,3.35,3.83,-5.64,.629,7.536
1430,1293149440,S. Selinsky,Skye Selinsky,Selinsky,CF,Columbia University,CLMB,730319104,Columbia,BBC,R,R,1.894,.074,.347,.273,.206,.324,.389,.283,138,3.46,3.31,1.85,1.430,-.034
1431,1256933632,J. Castagnozzi,Johnny Castagnozzi,Castagnozzi,2B,University of North Carolina,UNC,730181888,North Carolina,BBC,R,R,1.893,.052,.376,.325,.239,.349,.387,.283,127,3.28,2.91,-0.06,-.577,3.948
1432,1114484480,C. Robinson,Crew Robinson,Robinson,2B,UC San Diego,UCSD,730348032,UC San Diego,BBC,L,R,1.891,.070,.354,.285,.183,.293,.372,.277,130,3.25,2.97,1.84,.313,1.025
1433,1334285312,R. Maka,Ryan Maka,Maka,DH,Valparaiso University,VALP,730369536,Valparaiso,BBC,S,R,1.891,.103,.401,.298,.222,.325,.421,.335,167,3.34,3.88,-6.30,-.721,9.462
1434,1130289408,R. Fenn,Ryan Fenn,Fenn,PR,Cal Poly,CP,5487,Cal Poly,BBC,R,R,1.890,.074,.355,.281,.272,.328,.395,.348,158,3.37,3.64,1.88,-.403,1.256
1435,1312186880,T. Tamiya,Trayden Tamiya,Tamiya,2B,Air Force Academy,AFA,730205440,Air Force,BBC,R,R,1.885,.119,.344,.225,.205,.252,.360,.323,220,3.33,4.69,3.18,-1.005,-.587
1436,1292550912,G. Ostrander,Garret Ostrander,Ostrander,2B,California Baptist University,CBU,5091,California Baptist,BBC,R,R,1.883,.138,.376,.238,.193,.295,.437,.359,184,3.36,4.34,-5.86,2.194,5.657
1437,1109883392,J. Steinberg,Jacob Steinberg,Steinberg,DH,James Madison University,JMU,730340096,James Madison,BBC,R,R,1.881,.159,.425,.266,.180,.289,.438,.355,62,3.32,1.44,-0.47,.133,5.134
1438,1303037440,J. Kramer,Joey Kramer,Kramer,DH,Cal State-Northridge,CSN,730380032,CSU Northridge,BBC,R,R,1.878,.149,.403,.254,.147,.276,.381,.271,107,3.39,2.53,-2.29,-.169,6.306
1439,1287329024,N. Bandy,Nathan Bandy,Bandy,RF,Southern Illinois University,SIU,730349824,Southern Illinois,BBC,R,R,1.875,.087,.379,.292,.170,.266,.403,.325,200,3.34,4.43,-6.05,1.554,6.332
1440,1142658816,C. Conn,Clay Conn,Conn,2B,University of Illinois-Chicago,UIC,5379,Illinois-Chicago,BBC,S,R,1.874,-.044,.362,.406,.200,.415,.433,.224,76,3.44,2.10,1.38,1.573,1.401
1441,1302783489,J. Perez,Jaime Perez,Perez,C,Tarleton State University,TSU,730236416,Tarleton State,BBC,R,R,1.873,.080,.360,.280,.234,.341,.381,.282,71,3.35,1.73,3.60,-.094,1.038
1442,1165361408,K. Johnson,Kolby Johnson,Johnson,RF,University of Central Arkansas,CARK,730175232,Central Arkansas,BBC,R,L,1.871,.181,.403,.223,.159,.268,.387,.299,164,3.48,3.89,-5.88,-1.075,9.564
1443,1305640192,C. Scott,Christian Scott,Scott,RF,University of Tennessee,TENN,730153728,Tennessee,BBC,L,L,1.867,.013,.377,.363,.253,.382,.392,.266,154,3.29,3.68,-4.54,1.970,5.026
1444,1255688704,G. Voytovich,Grant Voytovich,Voytovich,LF,Bucknell University,BUCK,730214144,Bucknell,BBC,R,R,1.866,.033,.398,.365,.246,.381,.415,.288,153,3.43,3.80,-6.02,.108,8.509
1445,1273284096,J. Ferrer,Jaime Ferrer,Ferrer,RF,Florida State University,FSU,101,Florida State,BBC,R,R,1.865,.088,.385,.298,.250,.298,.368,.324,219,3.35,4.62,-6.99,.648,7.970
1446,1215069696,J. Hoskyn,John Hoskyn,Hoskyn,C,Arkansas State University,ARST,730290176,Arkansas State,BBC,R,R,1.863,.148,.414,.266,.154,.303,.439,.319,47,3.29,1.10,1.89,-.252,3.391
1447,1291108096,S. Duff,Sky Duff,Duff,3B,University of Pittsburgh,PITT,5424,Pittsburgh,BBC,L,R,1.863,.026,.345,.319,.231,.372,.385,.247,219,3.48,5.58,2.20,-.860,-.429
1448,1099610880,C. Frederick,Cam Frederick,Frederick,SS,University of Nebraska-Omaha,NEOM,730235648,Omaha,BBC,R,R,1.860,.141,.384,.243,.199,.283,.391,.320,103,3.34,2.31,-0.46,.503,3.855
1449,1076012800,C. Wilkerson,Colby Wilkerson,Wilkerson,SS,University of North Carolina,UNC,730181888,North Carolina,BBC,S,R,1.858,.030,.321,.291,.227,.350,.369,.250,200,3.30,4.73,8.12,-1.032,-5.681
1450,1225480704,B. Mortensen,Broc Mortensen,Mortensen,RF,UC Santa Barbara,UCSB,730364160,UC Santa Barbara,BBC,L,R,1.857,.068,.399,.331,.201,.347,.392,.257,136,3.31,3.36,-5.36,.208,7.946
1451,1113764608,A. Roccaforte,Austin Roccaforte,Roccaforte,CF,Houston Baptist University,HBU,730157824,Houston Baptist,BBC,R,R,1.857,.048,.345,.297,.243,.363,.396,.282,124,3.36,2.98,4.62,-1.106,-.248
1452,1077585920,K. Davis,Kieran Davis,Davis,1B,Charleston Southern University,CHSO,730194432,Charleston Southern,BBC,R,R,1.850,.102,.431,.329,.270,.387,.446,.344,90,3.32,2.22,-3.97,-.656,8.546
1453,1267788288,O. Jackson,Owen Jackson,Jackson,1B,University of Toledo,TOL,5388,Toledo,BBC,L,R,1.849,.001,.365,.364,.226,.346,.344,.223,188,3.34,4.39,-2.13,.340,3.582
1454,1289243392,H. Christiansen,Hayden Christiansen,Christiansen,DH,Xavier University,XAV,5464,Xavier,BBC,R,R,1.849,.273,.498,.224,.194,.271,.500,.447,38,3.32,0.82,-0.40,.097,5.626
1455,1162509312,A. Meola,Aidan Meola,Meola,SS,Oklahoma State University,OKST,4245,Oklahoma State,BBC,R,R,1.846,.107,.382,.275,.227,.273,.362,.322,87,3.24,1.79,0.84,.470,2.884
1456,1148937216,V. Mauro,Vincent Mauro,Mauro,3B,Niagara University,NIAG,730156544,Niagara,BBC,R,R,1.843,.007,.353,.346,.342,.398,.330,.267,165,3.36,3.61,1.35,.236,1.006
1457,1114096896,M. Awtry,Marshall Awtry,Awtry,C,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,R,R,1.841,.059,.368,.309,.202,.323,.329,.210,62,3.21,1.38,3.02,.169,1.356
1458,1340693760,P. Bouck,Parks Bouck,Bouck,RF,Lipscomb University,LIP,730307072,Lipscomb,BBC,R,R,1.837,.060,.353,.293,.198,.323,.377,.263,171,3.32,4.09,0.42,.553,1.032
1459,1162533376,M. Lott,Malachi Lott,Lott,RF,University of Houston,HOU,3030,Houston,BBC,L,L,1.836,.136,.388,.253,.207,.276,.379,.320,147,3.34,3.19,-4.52,1.473,5.986
1460,1202712064,P. Tomaini,Paxton Tomaini,Tomaini,SS,University of Dayton,DAY,730194688,Dayton,BBC,S,R,1.832,.010,.344,.334,.227,.354,.372,.249,181,3.29,4.34,2.68,-.410,-.586
1461,1080392192,N. Granet,Noah Granet,Granet,3B,Princeton University,PRIN,730198784,Princeton,BBC,R,R,1.832,.159,.379,.220,.111,.147,.365,.341,91,3.35,1.91,1.42,.052,2.763
1462,1266589184,M. Zarrillo,Michael Zarrillo,Zarrillo,2B,Lafayette College,LAF,730217728,Lafayette,BBC,S,R,1.830,.083,.392,.309,.212,.330,.380,.270,152,3.32,3.49,-4.97,.405,7.155
1463,1284212224,R. Sepede,Ryan Sepede,Sepede,DH,Brigham Young University,BYU,730257152,BYU,BBC,R,R,1.829,-.001,.391,.392,.259,.351,.380,.292,185,3.43,4.34,-6.43,-.152,8.510
1464,1274480640,J. Quinn-irons,James Quinn-irons,Quinn-irons,LF,George Mason University,GMU,730265088,George Mason,BBC,R,R,1.825,.136,.414,.278,.246,.331,.441,.373,110,3.45,2.57,-4.10,.270,7.562
1465,1311552768,K. Machado,Kyle Machado,Machado,1B,University of North Alabama,UNA,730266624,North Alabama,BBC,R,R,1.824,.087,.421,.334,.199,.357,.448,.317,126,3.32,3.17,-7.22,-.598,10.695
1466,1184798464,J. Hackett,Justin Hackett,Hackett,SS,Bryant University,BRY,730266880,Bryant,BBC,R,R,1.822,.249,.380,.131,.047,.176,.398,.307,75,3.29,1.70,2.52,-.785,2.558
1467,1092330496,C. Clift,Connor Clift,Clift,PH,University of Southern California,USC,5047,USC,BBC,R,R,1.821,.025,.367,.342,.272,.375,.382,.280,75,3.27,1.76,2.84,-.245,1.597
1468,1310888704,W. Cresswell,Will Cresswell,Cresswell,C,Washington State University,WSU,4505,Washington State,BBC,R,R,1.819,-.017,.332,.349,.251,.360,.318,.202,94,3.26,2.14,5.04,.266,-1.522
1469,1213444608,B. Minnich,Brett Minnich,Minnich,LF,Texas A&M University,TXAM,3032,Texas A&M,BBC,L,R,1.818,.000,.389,.389,.262,.389,.390,.263,133,3.29,3.16,-3.79,.518,6.090
1470,1315722752,G. Sotres,Gabe Sotres,Sotres,C,University of Michigan,MICH,2290,Michigan,BBC,R,R,1.817,.032,.306,.274,.201,.333,.335,.204,147,3.25,3.45,8.64,.464,-6.648
1471,1144614656,L. Lawrence,Luke Lawrence,Lawrence,2B,Illinois State University,ILST,730258944,Illinois State,BBC,L,R,1.814,.150,.363,.214,.177,.250,.374,.316,117,3.29,2.53,0.82,.736,1.889
1472,1221084416,B. Murtha,Brock Murtha,Murtha,2B,U.S. Naval Academy,NAVY,508,Navy,BBC,R,R,1.807,.059,.350,.291,.222,.334,.380,.277,155,3.26,3.56,2.02,-.216,.529
1473,1131573504,T. Rollauer,Thomas Rollauer,Rollauer,LF,The Citadel,CIT,730366720,The Citadel,BBC,R,R,1.806,.102,.371,.270,.234,.310,.390,.324,204,3.37,4.52,-2.90,-.507,4.969
1474,1108462592,K. Cross,Kerrington Cross,Cross,LF,University of Cincinnati,CIN,5465,Cincinnati,BBC,R,R,1.806,.055,.359,.305,.218,.328,.368,.266,177,3.45,4.25,-2.42,2.123,2.283
1475,1204040448,G. Hussey,Grant Hussey,Hussey,1B,West Virginia University,WVU,5327,West Virginia,BBC,L,R,1.805,.086,.405,.319,.188,.334,.389,.256,180,3.33,4.31,-9.69,.068,11.314
1476,1239761408,T. Kole,Trevor Kole,Kole,SS,Florida Gulf Coast University,FGCU,4964,Florida Gulf Coast,BBC,R,R,1.803,-,.432,.046,-,.067,.400,.370,54,3.44,1.21,0.52,-.072,4.545
1477,1146337792,A. Gilroy,Aidan Gilroy,Gilroy,2B,Western Kentucky University,WKU,730212096,Western Kentucky,BBC,S,R,1.801,.085,.355,.270,.234,.320,.388,.314,204,3.30,4.79,-0.20,-.309,1.673
1478,1140740096,B. Sanders,Brian Sanders,Sanders,DH,Fairleigh Dickinson University,FDU,730355200,Fairleigh Dickinson,BBC,R,R,1.801,.208,.378,.170,.073,.225,.391,.275,189,3.44,4.64,-4.99,.284,6.263
1479,1263372544,L. Arnold,Luke Arnold,Arnold,3B,Wright State University,WRST,5390,Wright State,BBC,R,R,1.800,.113,.325,.212,.167,.254,.341,.265,204,3.27,4.51,6.76,-.843,-4.538
1480,1142086144,D. Baracani,Dawson Baracani,Baracani,SS,UMBC,UMBC,730210304,UMBC,BBC,R,R,1.799,-.084,.322,.406,.370,.485,.385,.243,136,3.26,3.36,6.58,-.137,-3.947
1481,1174787328,T. Splaine,Tommy Splaine,Splaine,1B,University of Arizona,ARIZ,232,Arizona,BBC,R,R,1.798,.054,.334,.279,.220,.341,.391,.281,114,3.36,2.74,5.36,-.412,-1.642
1482,1133666560,J. Payne,Jared Payne,Payne,C,Charleston Southern University,CHSO,730194432,Charleston Southern,BBC,R,R,1.797,.123,.355,.231,.116,.301,.421,.270,74,3.12,1.86,3.96,-.910,.687
1483,1209231616,A. Ramirez,August Ramirez,Ramirez,C,Texas State University,TXST,5420,Texas State,BBC,L,R,1.797,.098,.358,.260,.205,.264,.323,.270,152,3.23,3.11,0.60,.487,1.609
1484,1243081984,P. Matthews,Patrick Matthews,Matthews,2B,High Point University,HP,730321152,High Point,BBC,L,R,1.793,.009,.362,.352,.296,.426,.436,.308,130,3.37,3.32,-0.38,.897,2.198
1485,1143050240,R. Leary,Ryan Leary,Leary,3B,Texas State University,TXST,5420,Texas State,BBC,R,R,1.789,.129,.376,.247,.161,.259,.353,.267,120,3.35,2.67,1.39,-1.595,3.525
1486,1256348160,K. Liebert,Kirk Liebert,Liebert,C,Western Kentucky University,WKU,730212096,Western Kentucky,BBC,S,R,1.784,.052,.358,.306,.239,.358,.388,.274,201,3.34,4.85,-2.35,.975,2.473
1487,1288565504,J. Bottari,Jason Bottari,Bottari,CF,University at Albany,ALBY,730280448,Albany,BBC,R,R,1.782,.058,.349,.292,.188,.375,.444,.278,97,3.31,2.45,1.35,1.858,.250
1488,1188124416,B. Steck,Ben Steck,Steck,C,Santa Clara University,SCU,730297600,Santa Clara,BBC,R,R,1.781,.072,.321,.249,.154,.263,.333,.238,126,3.30,2.97,6.30,.115,-3.497
1489,1117157376,T. Harlan,Trotter Harlan,Harlan,2B,College of Charleston,COFC,730177792,College of Charleston,BBC,R,R,1.778,.065,.380,.315,.243,.340,.382,.292,202,3.34,4.56,-6.95,1.531,6.798
1490,1202684160,D. Pigford,Deylan Pigford,Pigford,LF,University of New Mexico,UNM,730153472,New Mexico,BBC,L,R,1.776,.121,.379,.258,.183,.289,.385,.293,140,3.43,3.26,-2.95,1.246,4.536
1491,1132845312,R. Gonzalez,Roberto Gonzalez,Gonzalez,DH,University of Texas Rio Grande Valley,UTRGV,730192128,UT Rio Grande Valley,BBC,R,R,1.775,.092,.353,.261,.192,.243,.359,.317,202,3.29,4.19,0.88,-.420,1.193
1492,1204942080,J. Poist,Jack Poist,Poist,DH,University of Akron,AKR,540536064,Akron,BBC,L,L,1.772,.089,.366,.278,.241,.336,.396,.310,168,3.30,3.77,-1.99,.720,3.347
1493,1300506368,J. Smith,Jalen Smith,Smith,3B,UC San Diego,UCSD,730348032,UC San Diego,BBC,R,R,1.771,.076,.373,.297,.267,.361,.389,.300,80,3.24,1.81,0.90,.847,2.186
1494,1333052160,G. Freeman,Gus Freeman,Freeman,1B,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,R,R,1.767,.031,.358,.327,.240,.385,.385,.239,71,3.32,1.81,2.81,.328,.923
1495,1125677825,R. Franklin,Ron Franklin,Franklin,CF,Eastern Kentucky University,EKY,5417,Eastern Kentucky,BBC,R,R,1.763,.093,.362,.269,.137,.294,.373,.235,102,3.30,2.44,1.02,.633,1.726
1496,1258112256,M. Garbowski,Matt Garbowski,Garbowski,C,University of Connecticut,CONN,5486,Connecticut,BBC,L,R,1.762,.048,.323,.275,.226,.329,.373,.277,130,3.20,2.97,7.02,-1.014,-3.328
1497,1185610240,A. Harper,Aaron Harper,Harper,3B,Northern Illinois University,NIU,730386176,Northern Illinois,BBC,R,R,1.754,.099,.359,.260,.211,.297,.385,.312,170,3.31,3.83,1.54,-1.619,2.061
1498,1227161344,T. Gray,Triston Gray,Gray,DH,Fresno State,FRES,730384384,Fresno State,BBC,R,R,1.749,.085,.351,.266,.220,.269,.330,.287,178,3.27,3.73,1.59,-.356,.766
1499,1199068160,R. Nagelbach,Ryan Nagelbach,Nagelbach,1B,University of Illinois-Chicago,UIC,5379,Illinois-Chicago,BBC,L,R,1.747,.005,.355,.351,.212,.306,.341,.252,159,3.38,3.63,1.81,-.870,1.338
1500,1340000000,N. White,Nick White,White,LF,University of Maine,ME,730275840,Maine,BBC,L,R,1.743,-,.449,.090,-,.130,.468,.388,67,3.38,1.55,-2.28,-.432,7.061
1501,1164130816,J. Fields,Javon Fields,Fields,CF,High Point University,HP,730321152,High Point,BBC,R,R,1.742,.078,.368,.290,.208,.349,.410,.283,180,3.33,4.38,-5.77,3.049,4.147
1502,1193004288,J. Bulger,Jack Bulger,Bulger,LF,Vanderbilt University,VAN,5046,Vanderbilt,BBC,R,R,1.741,.006,.319,.312,.242,.350,.343,.234,154,3.33,3.56,6.48,.360,-4.596
1503,1099961344,B. Wills,Brock Wills,Wills,LF,UNC Wilmington,UNCW,730229504,UNC Wilmington,BBC,L,R,1.733,.067,.334,.267,.219,.300,.354,.281,210,3.37,4.84,3.18,.624,-2.808
1504,1135525632,J. Monque,Joaquin Monque,Monque,DH,University of South Florida,USF,2292,South Florida,BBC,R,R,1.729,.033,.366,.332,.291,.376,.378,.295,129,3.26,2.85,0.38,-.044,2.450
1505,1153320704,A. Arquette,Aiva Arquette,Arquette,DH,University of Washington,WASH,3110,Washington,BBC,R,R,1.726,.051,.424,.372,.209,.367,.400,.250,44,3.37,1.09,0.26,.720,3.745
1506,1298532864,D. Gellos,Derek Gellos,Gellos,LF,Seattle University,SEA,4504,Seattle,BBC,S,R,1.725,.049,.393,.344,.313,.409,.438,.347,75,3.25,1.70,0.59,-.288,3.610
1507,1322648320,N. Sturino,Nick Sturino,Sturino,SS,Fairfield University,FAIR,730380544,Fairfield,BBC,L,R,1.721,.155,.404,.249,.136,.311,.429,.286,77,3.34,1.92,-1.09,-.005,4.924
1508,1116314880,C. Connor,Caden Connor,Connor,CF,Cal State Fullerton,CSF,5414,CSU Fullerton,BBC,L,L,1.721,.100,.396,.296,.234,.331,.414,.333,222,3.33,5.27,-10.64,-.658,11.754
1509,1240342272,T. Morris,Tre Morris,Morris,C,University of Missouri,MIZZ,4806,Missouri,BBC,R,R,1.715,.018,.339,.321,.235,.338,.349,.247,93,3.17,2.03,4.10,.063,-.746
1510,1103577088,R. Wacker,Robby Wacker,Wacker,LF,George Washington University,GW,730249216,George Washington,BBC,R,R,1.711,.062,.361,.300,.191,.327,.377,.252,143,3.36,3.47,-0.30,.367,2.210
1511,1088870144,P. Ciuffreda,Pete Ciuffreda,Ciuffreda,RF,Lafayette College,LAF,730217728,Lafayette,BBC,L,R,1.707,.036,.376,.340,.229,.368,.392,.257,171,3.34,4.16,-5.38,1.472,5.461
1512,1281476864,A. Redahan,Aidan Redahan,Redahan,3B,Central Connecticut State University,CCSU,730306816,Central Connecticut State,BBC,L,R,1.707,.068,.411,.343,.304,.423,.463,.353,68,3.32,1.60,-0.08,-.518,4.667
1513,1200500480,C. Rodriguez,Chase Rodriguez,Rodriguez,CF,Dixie State University,DSU,730318592,Dixie State,BBC,L,L,1.703,.155,.359,.204,.126,.257,.377,.272,125,3.31,2.99,0.32,.687,1.647
1514,1287362304,K. Amundson,Kaden Amundson,Amundson,C,Nicholls State University,NICH,730284032,Nicholls State,BBC,R,R,1.702,.017,.316,.299,.212,.382,.391,.222,99,3.24,2.57,6.66,.020,-3.727
1515,1296199936,C. Schmidt,Coleman Schmidt,Schmidt,LF,Saint Mary's College (CA),SMC,730288896,Saint Mary's,BBC,R,R,1.697,-.049,.390,.440,.278,.348,.346,.277,159,3.35,3.59,-6.02,1.088,7.020
1516,1185446144,J. Piacentino,Johnny Piacentino,Piacentino,P,Penn State University,PSU,5326,Penn State,BBC,R,R,1.693,.067,.353,.286,.245,.304,.368,.316,155,3.41,3.42,1.81,-.304,.849
1517,1237398784,M. Daly,Mitchell Daly,Daly,SS,University of Texas,TEX,245,Texas,BBC,R,R,1.689,.046,.318,.272,.198,.295,.323,.230,187,3.24,4.22,7.42,-.485,-5.681
1518,1256347392,J. Guy,Jaylen Guy,Guy,CF,Liberty University,LIB,730156288,Liberty,BBC,R,R,1.687,.044,.337,.292,.259,.316,.349,.297,172,3.32,3.79,2.30,1.272,-1.771
1519,1139712512,J. Greenwell,Julian Greenwell,Greenwell,DH,Wright State University,WRST,5390,Wright State,BBC,L,L,1.686,.090,.391,.302,.233,.328,.373,.287,178,3.39,4.20,-7.07,.301,8.291
1520,1208592896,J. Hegemann,Josh Hegemann,Hegemann,CF,University of Cincinnati,CIN,5465,Cincinnati,BBC,L,L,1.684,.035,.373,.338,.255,.418,.458,.306,111,3.31,2.87,-0.86,.158,3.403
1521,1338255360,M. Tesoriero,Matthew Tesoriero,Tesoriero,DH,Quinnipiac University,QUIN,730386688,Quinnipiac,BBC,R,R,1.684,.008,.377,.370,.349,.444,.413,.312,77,3.43,1.87,0.18,1.226,2.503
1522,1108468480,K. Hannahs,Kaleb Hannahs,Hannahs,3B,Valparaiso University,VALP,730369536,Valparaiso,BBC,R,R,1.675,.092,.360,.269,.194,.333,.400,.277,101,3.43,2.51,1.38,.384,1.462
1523,1192876288,C. Cranford,Collier Cranford,Cranford,SS,University of Kansas,KU,730360064,Kansas,BBC,R,R,1.674,.081,.323,.241,.204,.273,.316,.251,187,3.31,4.00,6.12,-.105,-4.477
1524,1293259008,A. Davis,Austin Davis,Davis,RF,Texas Christian University,TCU,5045,TCU,BBC,R,R,1.673,.087,.367,.280,.213,.319,.378,.285,246,3.35,5.94,-8.38,2.749,5.302
1525,1086008064,L. Boedicker,Lex Boedicker,Boedicker,CF,University of Central Florida,UCF,730256640,Central Florida,BBC,L,R,1.668,.049,.387,.338,.234,.324,.353,.267,206,3.35,4.64,-7.56,.167,8.343
1526,1125755392,C. Flagg,Connor Flagg,Flagg,DH,University of Central Arkansas,CARK,730175232,Central Arkansas,BBC,L,R,1.668,.053,.393,.340,.264,.405,.441,.309,55,3.18,1.27,0.72,.524,2.788
1527,1310848768,E. Krewson,Elliot Krewson,Krewson,DH,Dartmouth College,DART,730216192,Dartmouth,BBC,R,R,1.667,.043,.337,.294,.270,.344,.368,.297,138,3.26,2.98,3.62,.198,-1.370
1528,1190568704,T. Minnick,Tyler Minnick,Minnick,C,Georgia Tech,GT,100,Georgia Tech,BBC,R,R,1.664,.049,.339,.290,.227,.320,.352,.263,80,3.30,1.84,4.32,.012,-.680
1529,1330202880,J. Greiving,Jake Greiving,Greiving,RF,Air Force Academy,AFA,730205440,Air Force,BBC,S,R,1.661,.055,.365,.310,.238,.288,.346,.302,215,3.35,4.71,-2.69,-.258,3.797
1530,1196789504,D. Wyers,Drew Wyers,Wyers,3B,Stetson University,STET,730261504,Stetson,BBC,R,R,1.659,.077,.374,.297,.186,.373,.429,.259,85,3.34,2.22,1.04,-.401,2.692
1531,1099145984,R. Galvan,Rylan Galvan,Galvan,DH,University of Texas,TEX,245,Texas,BBC,R,R,1.658,.096,.344,.248,.141,.287,.360,.229,83,3.26,1.97,3.29,.433,-.287
